Score,Year,Grade,Grade_Year,Subject,Group
322,2014,6,6th - 2014,ELA,All Students
333,2014,6,6th - 2014,ELA,All Students
333,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
359,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
364,2014,6,6th - 2014,ELA,All Students
347,2014,6,6th - 2014,ELA,All Students
364,2014,6,6th - 2014,ELA,All Students
327,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
333,2014,6,6th - 2014,ELA,All Students
340,2014,6,6th - 2014,ELA,All Students
299,2014,6,6th - 2014,ELA,All Students
330,2014,6,6th - 2014,ELA,All Students
376,2014,6,6th - 2014,ELA,All Students
340,2014,6,6th - 2014,ELA,All Students
337,2014,6,6th - 2014,ELA,All Students
314,2014,6,6th - 2014,ELA,All Students
317,2014,6,6th - 2014,ELA,All Students
355,2014,6,6th - 2014,ELA,All Students
355,2014,6,6th - 2014,ELA,All Students
325,2014,6,6th - 2014,ELA,All Students
364,2014,6,6th - 2014,ELA,All Students
335,2014,6,6th - 2014,ELA,All Students
370,2014,6,6th - 2014,ELA,All Students
304,2014,6,6th - 2014,ELA,All Students
293,2015,6,6th - 2015,ELA,All Students
312,2015,6,6th - 2015,ELA,All Students
314,2015,6,6th - 2015,ELA,All Students
302,2015,6,6th - 2015,ELA,All Students
317,2015,6,6th - 2015,ELA,All Students
312,2015,6,6th - 2015,ELA,All Students
307,2015,6,6th - 2015,ELA,All Students
295,2015,6,6th - 2015,ELA,All Students
314,2015,6,6th - 2015,ELA,All Students
317,2015,6,6th - 2015,ELA,All Students
304,2015,6,6th - 2015,ELA,All Students
312,2015,6,6th - 2015,ELA,All Students
300,2015,6,6th - 2015,ELA,All Students
328,2015,6,6th - 2015,ELA,All Students
322,2015,6,6th - 2015,ELA,All Students
334,2015,6,6th - 2015,ELA,All Students
328,2015,6,6th - 2015,ELA,All Students
320,2015,6,6th - 2015,ELA,All Students
325,2015,6,6th - 2015,ELA,All Students
334,2015,6,6th - 2015,ELA,All Students
331,2015,6,6th - 2015,ELA,All Students
328,2015,6,6th - 2015,ELA,All Students
320,2015,6,6th - 2015,ELA,All Students
334,2015,6,6th - 2015,ELA,All Students
322,2015,6,6th - 2015,ELA,All Students
