Score,Year,Grade,Subject,Group
330,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
370,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
300,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
370,2016,7th,ELA,All Students
357,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
311,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
303,2016,7th,ELA,All Students
305,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
308,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
378,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
311,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
308,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
357,2016,7th,ELA,All Students
363,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
363,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
363,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
357,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
308,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
357,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
378,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
308,2016,7th,ELA,All Students
363,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
370,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
313,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
370,2016,7th,ELA,All Students
357,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
352,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
370,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
324,2016,7th,ELA,All Students
327,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
378,2016,7th,ELA,All Students
337,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
330,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
333,2016,7th,ELA,All Students
340,2016,7th,ELA,All Students
363,2016,7th,ELA,All Students
389,2016,7th,ELA,All Students
347,2016,7th,ELA,All Students
308,2016,7th,ELA,Potential HO
342,2016,7th,ELA,Potential HO
311,2016,7th,ELA,Potential HO
291,2016,7th,ELA,Potential HO
300,2016,7th,ELA,Potential HO
303,2016,7th,ELA,Potential HO
321,2016,7th,ELA,Potential HO
291,2016,7th,ELA,Potential HO
308,2016,7th,ELA,Potential HO
288,2016,7th,ELA,Potential HO
320,2016,7th,ELA,Potential HO
324,2016,7th,ELA,Potential HO
335,2016,7th,ELA,Potential HO
324,2016,7th,ELA,Potential HO
301,2016,7th,ELA,Holdover
318,2016,7th,ELA,Holdover
305,2016,7th,ELA,Holdover
334,2016,7th,ELA,Holdover
315,2016,7th,ELA,Holdover
313,2016,7th,ELA,Holdover
338,2016,7th,ELA,Holdover
316,2016,7th,ELA,Holdover
323,2016,7th,ELA,Holdover
303,2016,7th,ELA,Holdover
313,2016,7th,ELA,Holdover
315,2016,7th,ELA,Holdover
330,2016,7th,ELA,Holdover
328,2016,7th,ELA,Holdover
315,2016,7th,ELA,Holdover
230,2014,5th,Math,All Students
317,2014,5th,Math,All Students
304,2014,5th,Math,All Students
329,2014,5th,Math,All Students
346,2014,5th,Math,All Students
357,2014,5th,Math,All Students
327,2014,5th,Math,All Students
357,2014,5th,Math,All Students
350,2014,5th,Math,All Students
329,2014,5th,Math,All Students
347,2014,5th,Math,All Students
340,2014,5th,Math,All Students
346,2014,5th,Math,All Students
357,2014,5th,Math,All Students
323,2014,5th,Math,All Students
325,2014,5th,Math,All Students
357,2014,5th,Math,All Students
311,2014,5th,Math,All Students
323,2014,5th,Math,All Students
353,2014,5th,Math,All Students
333,2014,5th,Math,All Students
360,2014,5th,Math,All Students
370,2014,5th,Math,All Students
386,2014,5th,Math,All Students
347,2014,5th,Math,All Students
347,2014,5th,Math,All Students
340,2014,5th,Math,All Students
377,2014,5th,Math,All Students
360,2014,5th,Math,All Students
402,2014,5th,Math,All Students
342,2014,5th,Math,All Students
342,2014,5th,Math,All Students
338,2014,5th,Math,All Students
353,2014,5th,Math,All Students
365,2014,5th,Math,All Students
353,2014,5th,Math,All Students
360,2014,5th,Math,All Students
353,2014,5th,Math,All Students
350,2014,5th,Math,All Students
347,2014,5th,Math,All Students
357,2014,5th,Math,All Students
359,2014,5th,Math,All Students
377,2014,5th,Math,All Students
342,2014,5th,Math,All Students
340,2014,5th,Math,All Students
377,2014,5th,Math,All Students
386,2014,5th,Math,All Students
377,2014,5th,Math,All Students
347,2014,5th,Math,All Students
346,2014,5th,Math,All Students
370,2014,5th,Math,All Students
346,2014,5th,Math,All Students
346,2014,5th,Math,All Students
335,2014,5th,Math,All Students
365,2014,5th,Math,All Students
370,2014,5th,Math,All Students
347,2014,5th,Math,All Students
342,2014,5th,Math,All Students
347,2014,5th,Math,All Students
359,2014,5th,Math,All Students
357,2014,5th,Math,All Students
347,2014,5th,Math,All Students
360,2014,5th,Math,All Students
386,2014,5th,Math,All Students
370,2014,5th,Math,All Students
353,2014,5th,Math,All Students
370,2014,5th,Math,All Students
359,2014,5th,Math,All Students
340,2014,5th,Math,All Students
329,2014,5th,Math,All Students
313,2014,5th,Math,All Students
338,2014,5th,Math,All Students
329,2014,5th,Math,All Students
331,2014,5th,Math,All Students
346,2014,5th,Math,All Students
341,2014,5th,Math,All Students
315,2014,5th,Math,All Students
333,2014,5th,Math,All Students
350,2014,5th,Math,All Students
357,2014,5th,Math,All Students
370,2014,5th,Math,All Students
342,2014,5th,Math,All Students
377,2014,5th,Math,All Students
338,2014,5th,Math,All Students
306,2014,5th,Math,All Students
350,2014,5th,Math,All Students
318,2014,5th,Math,All Students
342,2014,5th,Math,All Students
346,2014,5th,Math,All Students
370,2014,5th,Math,All Students
360,2014,5th,Math,All Students
342,2014,5th,Math,All Students
350,2014,5th,Math,All Students
347,2014,5th,Math,All Students
311,2014,5th,Math,All Students
340,2014,5th,Math,All Students
370,2014,5th,Math,All Students
325,2014,5th,Math,All Students
295,2014,5th,Math,All Students
350,2014,5th,Math,All Students
365,2014,5th,Math,All Students
353,2014,5th,Math,All Students
346,2014,5th,Math,All Students
331,2014,5th,Math,All Students
346,2014,5th,Math,All Students
353,2014,5th,Math,All Students
377,2014,5th,Math,All Students
365,2014,5th,Math,All Students
394,2014,5th,Math,All Students
360,2014,5th,Math,All Students
377,2014,5th,Math,All Students
360,2014,5th,Math,All Students
360,2014,5th,Math,All Students
353,2014,5th,Math,All Students
353,2014,5th,Math,All Students
333,2014,5th,Math,All Students
360,2014,5th,Math,All Students
402,2014,5th,Math,All Students
370,2014,5th,Math,All Students
340,2014,5th,Math,All Students
394,2014,5th,Math,All Students
350,2014,5th,Math,All Students
347,2014,5th,Math,All Students
370,2014,5th,Math,All Students
360,2014,5th,Math,All Students
347,2014,5th,Math,All Students
360,2014,5th,Math,All Students
386,2014,5th,Math,All Students
370,2014,5th,Math,All Students
347,2014,5th,Math,All Students
357,2014,5th,Math,All Students
360,2014,5th,Math,All Students
386,2014,5th,Math,All Students
394,2014,5th,Math,All Students
357,2014,5th,Math,All Students
347,2014,5th,Math,All Students
402,2014,5th,Math,All Students
365,2014,5th,Math,All Students
357,2014,5th,Math,All Students
360,2014,5th,Math,All Students
360,2014,5th,Math,All Students
321,2014,5th,Math,All Students
325,2014,5th,Math,All Students
360,2014,5th,Math,All Students
377,2014,5th,Math,All Students
353,2014,5th,Math,All Students
365,2014,5th,Math,All Students
377,2014,5th,Math,All Students
377,2014,5th,Math,All Students
365,2014,5th,Math,All Students
340,2014,5th,Math,All Students
357,2014,5th,Math,All Students
370,2014,5th,Math,All Students
370,2014,5th,Math,All Students
353,2014,5th,Math,All Students
365,2014,5th,Math,All Students
386,2014,5th,Math,All Students
330,2014,5th,Math,All Students
377,2014,5th,Math,All Students
350,2014,5th,Math,All Students
365,2014,5th,Math,All Students
370,2014,5th,Math,All Students
386,2014,5th,Math,All Students
357,2014,5th,Math,All Students
360,2014,5th,Math,All Students
365,2014,5th,Math,All Students
353,2014,5th,Math,All Students
342,2014,5th,Math,All Students
377,2014,5th,Math,All Students
394,2014,5th,Math,All Students
386,2014,5th,Math,All Students
283,2014,5th,Math,All Students
329,2014,5th,Math,All Students
342,2014,5th,Math,All Students
340,2014,5th,Math,All Students
317,2014,5th,Math,All Students
342,2014,5th,Math,All Students
357,2014,5th,Math,All Students
335,2014,5th,Math,All Students
325,2014,5th,Math,All Students
319,2014,5th,Math,All Students
329,2014,5th,Math,All Students
357,2014,5th,Math,All Students
386,2014,5th,Math,All Students
353,2014,5th,Math,All Students
365,2014,5th,Math,All Students
386,2014,5th,Math,All Students
327,2014,5th,Math,All Students
340,2014,5th,Math,All Students
360,2014,5th,Math,All Students
365,2014,5th,Math,All Students
315,2014,5th,Math,All Students
338,2014,5th,Math,All Students
353,2014,5th,Math,All Students
346,2014,5th,Math,All Students
340,2014,5th,Math,All Students
340,2014,5th,Math,All Students
353,2014,5th,Math,All Students
350,2014,5th,Math,All Students
338,2014,5th,Math,All Students
346,2014,5th,Math,All Students
347,2014,5th,Math,All Students
360,2014,5th,Math,All Students
394,2014,5th,Math,All Students
360,2014,5th,Math,All Students
350,2014,5th,Math,All Students
377,2014,5th,Math,All Students
350,2014,5th,Math,All Students
370,2014,5th,Math,All Students
386,2014,5th,Math,All Students
346,2014,5th,Math,All Students
402,2014,5th,Math,All Students
340,2014,5th,Math,All Students
365,2014,5th,Math,All Students
386,2014,5th,Math,All Students
396,2014,5th,Math,All Students
321,2014,5th,Math,All Students
319,2014,5th,Math,All Students
321,2014,5th,Math,All Students
357,2014,5th,Math,All Students
331,2014,5th,Math,All Students
402,2014,5th,Math,All Students
360,2014,5th,Math,All Students
350,2014,5th,Math,All Students
402,2014,5th,Math,All Students
360,2014,5th,Math,All Students
346,2014,5th,Math,All Students
347,2014,5th,Math,All Students
402,2014,5th,Math,All Students
370,2014,5th,Math,All Students
353,2014,5th,Math,All Students
357,2014,5th,Math,All Students
353,2014,5th,Math,All Students
370,2014,5th,Math,All Students
386,2014,5th,Math,All Students
350,2014,5th,Math,All Students
360,2014,5th,Math,All Students
346,2014,5th,Math,All Students
360,2014,5th,Math,All Students
353,2014,5th,Math,All Students
365,2014,5th,Math,All Students
402,2014,5th,Math,All Students
357,2014,5th,Math,All Students
360,2014,5th,Math,All Students
353,2014,5th,Math,All Students
350,2014,5th,Math,All Students
402,2014,5th,Math,All Students
394,2014,5th,Math,All Students
402,2014,5th,Math,All Students
360,2014,5th,Math,All Students
357,2014,5th,Math,All Students
360,2014,5th,Math,All Students
370,2014,5th,Math,All Students
365,2014,5th,Math,All Students
394,2014,5th,Math,All Students
365,2014,5th,Math,All Students
357,2014,5th,Math,All Students
404,2014,5th,Math,All Students
323,2014,5th,Math,All Students
350,2014,5th,Math,All Students
308,2014,5th,Math,All Students
350,2014,5th,Math,All Students
360,2014,5th,Math,All Students
353,2014,5th,Math,All Students
347,2014,5th,Math,All Students
310,2014,5th,Math,All Students
340,2014,5th,Math,All Students
329,2014,5th,Math,All Students
335,2014,5th,Math,All Students
331,2014,5th,Math,All Students
321,2014,5th,Math,All Students
370,2014,5th,Math,All Students
331,2014,5th,Math,All Students
340,2014,5th,Math,All Students
350,2014,5th,Math,All Students
386,2014,5th,Math,All Students
353,2014,5th,Math,All Students
386,2014,5th,Math,All Students
353,2014,5th,Math,All Students
353,2014,5th,Math,All Students
346,2014,5th,Math,All Students
353,2014,5th,Math,All Students
360,2014,5th,Math,All Students
357,2014,5th,Math,All Students
394,2014,5th,Math,All Students
357,2014,5th,Math,All Students
353,2014,5th,Math,All Students
360,2014,5th,Math,All Students
347,2014,5th,Math,All Students
353,2014,5th,Math,All Students
386,2014,5th,Math,All Students
402,2014,5th,Math,All Students
353,2014,5th,Math,All Students
370,2014,5th,Math,All Students
377,2014,5th,Math,All Students
338,2014,5th,Math,All Students
333,2014,5th,Math,All Students
329,2014,5th,Math,All Students
365,2014,5th,Math,All Students
327,2014,5th,Math,All Students
377,2014,5th,Math,All Students
340,2014,5th,Math,All Students
357,2014,5th,Math,All Students
333,2014,5th,Math,All Students
332,2014,5th,Math,All Students
326,2014,5th,Math,All Students
353,2014,5th,Math,All Students
386,2014,5th,Math,All Students
347,2014,5th,Math,All Students
377,2014,5th,Math,All Students
365,2014,5th,Math,All Students
370,2014,5th,Math,All Students
404,2014,5th,Math,All Students
360,2014,5th,Math,All Students
394,2014,5th,Math,All Students
377,2014,5th,Math,All Students
342,2014,5th,Math,All Students
360,2014,5th,Math,All Students
340,2014,5th,Math,All Students
325,2014,5th,Math,All Students
377,2014,5th,Math,All Students
353,2014,5th,Math,All Students
370,2014,5th,Math,All Students
394,2014,5th,Math,All Students
370,2014,5th,Math,All Students
402,2014,5th,Math,All Students
394,2014,5th,Math,All Students
329,2014,5th,Math,Potential HO
329,2014,5th,Math,Potential HO
314,2014,5th,Math,Potential HO
320,2014,5th,Math,Potential HO
348,2014,5th,Math,Potential HO
332,2014,5th,Math,Potential HO
322,2014,5th,Math,Potential HO
322,2014,5th,Math,Potential HO
366,2014,5th,Math,Potential HO
341,2014,5th,Math,Potential HO
366,2014,5th,Math,Potential HO
344,2014,5th,Math,Potential HO
396,2014,5th,Math,Potential HO
359,2014,5th,Math,Potential HO
346,2014,5th,Math,Holdover
331,2014,5th,Math,Holdover
340,2014,5th,Math,Holdover
297,2014,5th,Math,Holdover
323,2014,5th,Math,Holdover
329,2014,5th,Math,Holdover
304,2014,5th,Math,Holdover
319,2014,5th,Math,Holdover
295,2014,5th,Math,Holdover
342,2014,5th,Math,Holdover
340,2014,5th,Math,Holdover
306,2014,5th,Math,Holdover
338,2014,5th,Math,Holdover
386,2014,5th,Math,Holdover
331,2014,5th,Math,Holdover
267,2015,6th,Math,All Students
316,2015,6th,Math,All Students
336,2015,6th,Math,All Students
336,2015,6th,Math,All Students
345,2015,6th,Math,All Students
370,2015,6th,Math,All Students
353,2015,6th,Math,All Students
357,2015,6th,Math,All Students
342,2015,6th,Math,All Students
353,2015,6th,Math,All Students
342,2015,6th,Math,All Students
345,2015,6th,Math,All Students
370,2015,6th,Math,All Students
336,2015,6th,Math,All Students
330,2015,6th,Math,All Students
336,2015,6th,Math,All Students
328,2015,6th,Math,All Students
338,2015,6th,Math,All Students
334,2015,6th,Math,All Students
357,2015,6th,Math,All Students
357,2015,6th,Math,All Students
365,2015,6th,Math,All Students
376,2015,6th,Math,All Students
370,2015,6th,Math,All Students
365,2015,6th,Math,All Students
350,2015,6th,Math,All Students
342,2015,6th,Math,All Students
347,2015,6th,Math,All Students
403,2015,6th,Math,All Students
411,2015,6th,Math,All Students
357,2015,6th,Math,All Students
347,2015,6th,Math,All Students
357,2015,6th,Math,All Students
350,2015,6th,Math,All Students
376,2015,6th,Math,All Students
376,2015,6th,Math,All Students
360,2015,6th,Math,All Students
350,2015,6th,Math,All Students
347,2015,6th,Math,All Students
376,2015,6th,Math,All Students
357,2015,6th,Math,All Students
365,2015,6th,Math,All Students
395,2015,6th,Math,All Students
342,2015,6th,Math,All Students
342,2015,6th,Math,All Students
365,2015,6th,Math,All Students
376,2015,6th,Math,All Students
395,2015,6th,Math,All Students
370,2015,6th,Math,All Students
345,2015,6th,Math,All Students
395,2015,6th,Math,All Students
384,2015,6th,Math,All Students
365,2015,6th,Math,All Students
370,2015,6th,Math,All Students
384,2015,6th,Math,All Students
370,2015,6th,Math,All Students
353,2015,6th,Math,All Students
376,2015,6th,Math,All Students
340,2015,6th,Math,All Students
357,2015,6th,Math,All Students
347,2015,6th,Math,All Students
357,2015,6th,Math,All Students
353,2015,6th,Math,All Students
370,2015,6th,Math,All Students
384,2015,6th,Math,All Students
357,2015,6th,Math,All Students
365,2015,6th,Math,All Students
357,2015,6th,Math,All Students
353,2015,6th,Math,All Students
350,2015,6th,Math,All Students
310,2015,6th,Math,All Students
316,2015,6th,Math,All Students
305,2015,6th,Math,All Students
338,2015,6th,Math,All Students
328,2015,6th,Math,All Students
332,2015,6th,Math,All Students
324,2015,6th,Math,All Students
324,2015,6th,Math,All Students
330,2015,6th,Math,All Students
336,2015,6th,Math,All Students
357,2015,6th,Math,All Students
345,2015,6th,Math,All Students
360,2015,6th,Math,All Students
353,2015,6th,Math,All Students
342,2015,6th,Math,All Students
342,2015,6th,Math,All Students
345,2015,6th,Math,All Students
342,2015,6th,Math,All Students
350,2015,6th,Math,All Students
357,2015,6th,Math,All Students
353,2015,6th,Math,All Students
340,2015,6th,Math,All Students
357,2015,6th,Math,All Students
316,2015,6th,Math,All Students
315,2015,6th,Math,All Students
328,2015,6th,Math,All Students
332,2015,6th,Math,All Students
321,2015,6th,Math,All Students
336,2015,6th,Math,All Students
338,2015,6th,Math,All Students
330,2015,6th,Math,All Students
326,2015,6th,Math,All Students
338,2015,6th,Math,All Students
319,2015,6th,Math,All Students
326,2015,6th,Math,All Students
336,2015,6th,Math,All Students
347,2015,6th,Math,All Students
365,2015,6th,Math,All Students
384,2015,6th,Math,All Students
360,2015,6th,Math,All Students
360,2015,6th,Math,All Students
360,2015,6th,Math,All Students
357,2015,6th,Math,All Students
350,2015,6th,Math,All Students
357,2015,6th,Math,All Students
360,2015,6th,Math,All Students
353,2015,6th,Math,All Students
384,2015,6th,Math,All Students
347,2015,6th,Math,All Students
347,2015,6th,Math,All Students
370,2015,6th,Math,All Students
353,2015,6th,Math,All Students
384,2015,6th,Math,All Students
360,2015,6th,Math,All Students
376,2015,6th,Math,All Students
357,2015,6th,Math,All Students
345,2015,6th,Math,All Students
357,2015,6th,Math,All Students
347,2015,6th,Math,All Students
353,2015,6th,Math,All Students
353,2015,6th,Math,All Students
347,2015,6th,Math,All Students
365,2015,6th,Math,All Students
350,2015,6th,Math,All Students
357,2015,6th,Math,All Students
347,2015,6th,Math,All Students
384,2015,6th,Math,All Students
376,2015,6th,Math,All Students
342,2015,6th,Math,All Students
353,2015,6th,Math,All Students
384,2015,6th,Math,All Students
308,2015,6th,Math,All Students
334,2015,6th,Math,All Students
334,2015,6th,Math,All Students
360,2015,6th,Math,All Students
370,2015,6th,Math,All Students
376,2015,6th,Math,All Students
353,2015,6th,Math,All Students
357,2015,6th,Math,All Students
345,2015,6th,Math,All Students
384,2015,6th,Math,All Students
353,2015,6th,Math,All Students
395,2015,6th,Math,All Students
350,2015,6th,Math,All Students
360,2015,6th,Math,All Students
376,2015,6th,Math,All Students
360,2015,6th,Math,All Students
340,2015,6th,Math,All Students
347,2015,6th,Math,All Students
357,2015,6th,Math,All Students
365,2015,6th,Math,All Students
345,2015,6th,Math,All Students
370,2015,6th,Math,All Students
370,2015,6th,Math,All Students
350,2015,6th,Math,All Students
360,2015,6th,Math,All Students
340,2015,6th,Math,All Students
376,2015,6th,Math,All Students
353,2015,6th,Math,All Students
360,2015,6th,Math,All Students
370,2015,6th,Math,All Students
260,2015,6th,Math,All Students
332,2015,6th,Math,All Students
316,2015,6th,Math,All Students
313,2015,6th,Math,All Students
313,2015,6th,Math,All Students
326,2015,6th,Math,All Students
332,2015,6th,Math,All Students
328,2015,6th,Math,All Students
326,2015,6th,Math,All Students
321,2015,6th,Math,All Students
328,2015,6th,Math,All Students
345,2015,6th,Math,All Students
350,2015,6th,Math,All Students
345,2015,6th,Math,All Students
353,2015,6th,Math,All Students
353,2015,6th,Math,All Students
345,2015,6th,Math,All Students
360,2015,6th,Math,All Students
360,2015,6th,Math,All Students
350,2015,6th,Math,All Students
306,2015,6th,Math,All Students
313,2015,6th,Math,All Students
336,2015,6th,Math,All Students
321,2015,6th,Math,All Students
334,2015,6th,Math,All Students
323,2015,6th,Math,All Students
324,2015,6th,Math,All Students
330,2015,6th,Math,All Students
336,2015,6th,Math,All Students
338,2015,6th,Math,All Students
360,2015,6th,Math,All Students
347,2015,6th,Math,All Students
357,2015,6th,Math,All Students
347,2015,6th,Math,All Students
340,2015,6th,Math,All Students
365,2015,6th,Math,All Students
370,2015,6th,Math,All Students
370,2015,6th,Math,All Students
350,2015,6th,Math,All Students
340,2015,6th,Math,All Students
403,2015,6th,Math,All Students
360,2015,6th,Math,All Students
360,2015,6th,Math,All Students
365,2015,6th,Math,All Students
370,2015,6th,Math,All Students
311,2015,6th,Math,All Students
316,2015,6th,Math,All Students
330,2015,6th,Math,All Students
328,2015,6th,Math,All Students
330,2015,6th,Math,All Students
403,2015,6th,Math,All Students
360,2015,6th,Math,All Students
347,2015,6th,Math,All Students
357,2015,6th,Math,All Students
370,2015,6th,Math,All Students
342,2015,6th,Math,All Students
342,2015,6th,Math,All Students
384,2015,6th,Math,All Students
360,2015,6th,Math,All Students
370,2015,6th,Math,All Students
360,2015,6th,Math,All Students
384,2015,6th,Math,All Students
340,2015,6th,Math,All Students
347,2015,6th,Math,All Students
350,2015,6th,Math,All Students
365,2015,6th,Math,All Students
347,2015,6th,Math,All Students
357,2015,6th,Math,All Students
365,2015,6th,Math,All Students
350,2015,6th,Math,All Students
384,2015,6th,Math,All Students
353,2015,6th,Math,All Students
365,2015,6th,Math,All Students
376,2015,6th,Math,All Students
350,2015,6th,Math,All Students
360,2015,6th,Math,All Students
384,2015,6th,Math,All Students
345,2015,6th,Math,All Students
350,2015,6th,Math,All Students
357,2015,6th,Math,All Students
347,2015,6th,Math,All Students
376,2015,6th,Math,All Students
360,2015,6th,Math,All Students
357,2015,6th,Math,All Students
347,2015,6th,Math,All Students
347,2015,6th,Math,All Students
376,2015,6th,Math,All Students
282,2015,6th,Math,All Students
308,2015,6th,Math,All Students
308,2015,6th,Math,All Students
336,2015,6th,Math,All Students
324,2015,6th,Math,All Students
330,2015,6th,Math,All Students
330,2015,6th,Math,All Students
324,2015,6th,Math,All Students
334,2015,6th,Math,All Students
336,2015,6th,Math,All Students
323,2015,6th,Math,All Students
324,2015,6th,Math,All Students
318,2015,6th,Math,All Students
334,2015,6th,Math,All Students
334,2015,6th,Math,All Students
360,2015,6th,Math,All Students
342,2015,6th,Math,All Students
350,2015,6th,Math,All Students
347,2015,6th,Math,All Students
370,2015,6th,Math,All Students
342,2015,6th,Math,All Students
342,2015,6th,Math,All Students
340,2015,6th,Math,All Students
340,2015,6th,Math,All Students
350,2015,6th,Math,All Students
353,2015,6th,Math,All Students
353,2015,6th,Math,All Students
342,2015,6th,Math,All Students
357,2015,6th,Math,All Students
345,2015,6th,Math,All Students
347,2015,6th,Math,All Students
340,2015,6th,Math,All Students
353,2015,6th,Math,All Students
350,2015,6th,Math,All Students
347,2015,6th,Math,All Students
357,2015,6th,Math,All Students
357,2015,6th,Math,All Students
321,2015,6th,Math,All Students
323,2015,6th,Math,All Students
321,2015,6th,Math,All Students
338,2015,6th,Math,All Students
328,2015,6th,Math,All Students
336,2015,6th,Math,All Students
332,2015,6th,Math,All Students
336,2015,6th,Math,All Students
318,2015,6th,Math,All Students
347,2015,6th,Math,All Students
353,2015,6th,Math,All Students
370,2015,6th,Math,All Students
384,2015,6th,Math,All Students
342,2015,6th,Math,All Students
342,2015,6th,Math,All Students
357,2015,6th,Math,All Students
340,2015,6th,Math,All Students
370,2015,6th,Math,All Students
350,2015,6th,Math,All Students
384,2015,6th,Math,All Students
365,2015,6th,Math,All Students
347,2015,6th,Math,All Students
353,2015,6th,Math,All Students
334,2015,6th,Math,All Students
334,2015,6th,Math,All Students
370,2015,6th,Math,All Students
345,2015,6th,Math,All Students
370,2015,6th,Math,All Students
376,2015,6th,Math,All Students
360,2015,6th,Math,All Students
360,2015,6th,Math,All Students
350,2015,6th,Math,All Students
333,2015,6th,Math,Potential HO
335,2015,6th,Math,Potential HO
328,2015,6th,Math,Potential HO
304,2015,6th,Math,Potential HO
348,2015,6th,Math,Potential HO
316,2015,6th,Math,Potential HO
308,2015,6th,Math,Potential HO
304,2015,6th,Math,Potential HO
320,2015,6th,Math,Potential HO
326,2015,6th,Math,Potential HO
337,2015,6th,Math,Potential HO
351,2015,6th,Math,Potential HO
340,2015,6th,Math,Potential HO
354,2015,6th,Math,Potential HO
349,2015,6th,Math,Holdover
343,2015,6th,Math,Holdover
335,2015,6th,Math,Holdover
312,2015,6th,Math,Holdover
335,2015,6th,Math,Holdover
347,2015,6th,Math,Holdover
327,2015,6th,Math,Holdover
345,2015,6th,Math,Holdover
